id,sentiment,call_timestamp,reason,city,state,channel,response_time,call duration in minutes,call_center,Market
DEU-83767217-S-314070-eR,Negative,10/11/2023,Canister Seal Issue,Huntsville,Alabama,Email,Above SLA,36,Baltimore/MD,HOME
ORT-23554135-U-885557-tw,Negative,10/27/2023,Canister Seal Issue,Birmingham,Alabama,Web,Within SLA,26,Los Angeles/CA,HOME
XUU-06543953-1-404556-et,Neutral,10/19/2023,Pressure Error Alert,Montgomery,Alabama,Text,Above SLA,44,Chicago/IL,HOME
GVD-91650922-R-616880-vu,Very Positive,10/17/2023,Canister Seal Issue,Montgomery,Alabama,Email,Above SLA,15,Baltimore/MD,HOME
UGO-00807086-P-191549-QN,Negative,10/5/2023,Pressure Error Alert,Birmingham,Alabama,Text,Below SLA,32,Chicago/IL,HOME
PLN-19435592-Q-125734-lU,Very Positive,10/3/2023,Canister Seal Issue,Mobile,Alabama,Web,Within SLA,13,Baltimore/MD,HOME
LFF-53962347-A-931652-I0,Negative,10/6/2023,Canister Seal Issue,Birmingham,Alabama,Text,Below SLA,24,Chicago/IL,HOME
XVB-55240170-u-571761-VE,Neutral,10/15/2023,Canister Seal Issue,Mobile,Alabama,Text,Above SLA,10,Los Angeles/CA,HOME
ERF-29579614-6-729519-fo,Positive,10/26/2023,Canister Seal Issue,Montgomery,Alabama,Text,Within SLA,6,Los Angeles/CA,HOME
SYU-73060431-Z-437906-3w,Neutral,10/13/2023,Pressure Error Alert,Mobile,Alabama,Text,Below SLA,18,Chicago/IL,HOME
TWZ-87212296-b-290016-DX,Negative,10/30/2023,Canister Seal Issue,Mobile,Alabama,Email,Within SLA,32,Baltimore/MD,HOME
FRZ-70866553-w-165383-PF,Negative,10/10/2023,Power Cord issue,Mobile,Alabama,Call-Center,Above SLA,28,Los Angeles/CA,HOME
VRU-28102021-j-476589-tY,Negative,10/22/2023,Power Cord issue,Mobile,Alabama,Call-Center,Within SLA,33,Los Angeles/CA,HOME
PVE-01309520-f-466187-xs,Negative,10/10/2023,Pressure Error Alert,Birmingham,Alabama,Email,Within SLA,7,Chicago/IL,HOME
UVY-07996745-U-531253-zn,Neutral,10/12/2023,Pressure Error Alert,Huntsville,Alabama,Text,Within SLA,27,Los Angeles/CA,HOME
OSV-79407492-X-977953-Tl,Neutral,10/11/2023,Canister Seal Issue,Montgomery,Alabama,Email,Within SLA,44,Chicago/IL,HOME
QUH-38352279-x-436338-Gx,Neutral,10/1/2023,Canister Seal Issue,Mobile,Alabama,Email,Below SLA,30,Chicago/IL,HOME
SID-89317100-i-294183-ZJ,Negative,10/20/2023,Canister Seal Issue,Montgomery,Alabama,Web,Within SLA,13,Los Angeles/CA,HOME
HXI-28652633-4-153140-lh,Negative,10/3/2023,Canister Seal Issue,Montgomery,Alabama,Email,Within SLA,45,Chicago/IL,HOME
JWA-02197513-Z-670196-JS,Negative,10/27/2023,Pressure Error Alert,Montgomery,Alabama,Text,Below SLA,8,Los Angeles/CA,HOME
YRP-04035395-1-974083-LP,Neutral,10/12/2023,Pressure Error Alert,Birmingham,Alabama,Email,Within SLA,28,Los Angeles/CA,HOME
HOV-41730009-S-309019-VE,Very Positive,10/2/2023,Canister Seal Issue,Anniston,Alabama,Text,Above SLA,29,Baltimore/MD,HOME
JDI-39131035-G-317664-b7,Negative,10/9/2023,Canister Seal Issue,Huntsville,Alabama,Email,Within SLA,41,Los Angeles/CA,HOME
WOx-75265836-4-875044-3P,Very Negative,10/14/2023,Canister Seal Issue,Montgomery,Alabama,Web,Within SLA,26,Denver/CO,HOME
WWD-81218798-X-233933-vl,Neutral,10/19/2023,Pressure Error Alert,Montgomery,Alabama,Web,Within SLA,8,Chicago/IL,Home
WUH-90713529-o-504353-tE,Neutral,10/30/2023,Canister Seal Issue,Montgomery,Alabama,Call-Center,Within SLA,16,Baltimore/MD,Home
BNW-57123826-6-096925-jP,Very Negative,10/24/2023,Canister Seal Issue,Birmingham,Alabama,Email,Within SLA,7,Baltimore/MD,HOME
QBO-83372805-v-536611-Sx,Negative,10/17/2023,Canister Seal Issue,Birmingham,Alabama,Web,Within SLA,20,Baltimore/MD,HOME
BAW-10865972-T-462889-1G,Negative,10/2/2023,Canister Seal Issue,Huntsville,Alabama,Email,Within SLA,40,Chicago/IL,HOME
WPA-30501997-W-367713-gS,Positive,10/24/2023,Power Cord issue,Huntsville,Alabama,Call-Center,Within SLA,21,Baltimore/MD,HOME
GUF-10254018-V-594893-0x,Positive,10/28/2023,Canister Seal Issue,Birmingham,Alabama,Call-Center,Within SLA,7,Chicago/IL,HOME
GQA-02575482-d-791564-7Y,Very Negative,10/17/2023,Canister Seal Issue,Mobile,Alabama,Web,Within SLA,15,Chicago/IL,home
TTJ-73361637-8-215810-p3,Negative,10/4/2023,Pressure Error Alert,Birmingham,Alabama,Email,Within SLA,10,Chicago/IL,home
FZT-43070644-v-322878-8p,Very Positive,10/26/2023,Power Cord issue,Montgomery,Alabama,Call-Center,Within SLA,25,Baltimore/MD,HOME
